#SampleID	Description	Env	SourceSink
AFCN1	adult	female	source
AFCN2	adult	female	source
AFCN3	adult	female	source
AFCN4	adult	female	source
AFDN1	adult	female	source
AFDN2	adult	female	source
AFDN3	adult	female	source
AFDN4	adult	female	source
AFVN1	adult	female	source
AFVN2	adult 	female	source
AFVN3	adult	female	source
AFVN4	adult	female	source
AMC	adult	male	source
AMCN1	adult	male	source
AMCN3	adult	male	source
AMCN4	adult	male	source
AMD	adult	male	source
AMDN1	adult	male	source
AMDN3	adult	male	source
AMDN4	adult	male	source
AMV	adult	male	source
AMVN1	adult	male	source
AMVN3	adult	male	source
AMVN4	adult	male	source
C2H2O	water-control	control	source
H2O1	water-control	control	source
H2O2	water-control	control	source
H2O3	water-control	control	source
H2Ocontrol1	water-control	control	source
H2Ocontrol2	water-control	control	source
H2Ocontrol3	water-control	control	source
H20controlN4	water-control	control	source
H2ON3	water-control	control	source
N1FTad1	tadpole-nest	tadpole-nest	source
N1FTad2	tadpole-nest	tadpole-nest	source
N1FTad3	tadpole-nest	tadpole-nest	source
N1H2O1	water-terrarium	water-terrarium	source
N1H2O2	water-terrarium	water-terrarium	source
N1H2O3	water-terrarium	water-terrarium	source
N1H2OFTads	water-terrarium	water-terrarium	source
N1in1	nest-in	nest-in	source
N1in2	nest-in	nest-in	source
N1in3	nest-in	nest-in	source
N1leaf1	leaf	leaf	source
N1leaf2	leaf	leaf	source
N1leaf3	leaf	leaf	source
N1out1	nest-out	nest-out	source
N1out2	nest-out	nest-out	source
N1out3	nest-out	nest-out	source
N1PH2O1	water	water-pond	source
N1PH2O2	water	water-pond	source
N1PH2O3	water	water-pond	source
N1WTad1	tadpole-pond	tadpole-pond	sink
N1WTad2	tadpole-pond	tadpole-pond	sink
N1WTad3	tadpole-pond	tadpole-pond	sink
N3FH2O1	water-terrarium	water-terrarium	source
N3FH2O2	water-terrarium	water-terrarium	source
N3FH2O3	water-terrarium	water-terrarium	source
N3FTad1	tadpole-nest	tadpole-nest	source
N3FTad2	tadpole-nest	tadpole-nest	source
N3FTad3	tadpole-nest	tadpole-nest	source
N3in1	nest-in	nest-in	source
N3in2	nest-in	nest-in	source
N3in3	nest-in	nest-in	source
N3leaf1	leaf	leaf	source
N3leaf2	leaf	leaf	source
N3leaf3	leaf	leaf	source
N3out1	nest-out	nest-out	source
N3out2	nest-out	nest-out	source
N3out3	nest-out	nest-out	source
N3PH2O1	water	water-pond	source
N3PH2O2	water	water-pond	source
N3PH2O3	water	water-pond	source
N3WTad1	tadpole-pond	tadpole-pond	sink
N3WTad2	tadpole-pond	tadpole-pond	sink
N3WTad3	tadpole-pond	tadpole-pond	sink
N4FH2O1	water-terrarium	water-terrarium	source
N4FH2O2	water-terrarium	water-terrarium	source
N4FH2O3	water-terrarium	water-terrarium	source
N4FTad1	tadpole-nest	tadpole-nest	source
N4FTad2	tadpole-nest	tadpole-nest	source
N4FTad3	tadpole-nest	tadpole-nest	source
N4in1	nest-in	nest-in	source
N4in2	nest-in	nest-in	source
N4in3	nest-in	nest-in	source
N4leaf1	leaf	leaf	source
N4leaf2	leaf	leaf	source
N4leaf3	leaf	leaf	source
N4out1	nest-out	nest-out	source
N4out2	nest-out	nest-out	source
N4out3	nest-out	nest-out	source
N4PH2O1	water	water-pond	source
N4PH2O2	water	water-pond	source
N4PH2O3	water	water-pond	source
N4WTad1	tadpole-pond	tadpole-pond	sink
N4WTad2	tadpole-pond	tadpole-pond	sink
N4WTad3	tadpole-pond	tadpole-pond	sink
N2-1	nest-in	nest-in	source
N2-2	nest-in	nest-in	source
N2-3	nest-in	nest-in	source
NAR2	sterile-swab	control	source
AMSecretion	secretion	control	source
