"X.SampleID"	"Category"	"Description"	"Sex"	"Nest_location"	"Nest_no"	"Body_location"	"Fert_status"	"Species"	"PD"	"SR"
"1"	"AFCN1"	"adult"	"adult"	"female"	NA	"Nest1"	"cloaca"	"fertilized"	"macrotis"	36.259098226	611
"2"	"AFCN2"	"adult"	"adult"	"female"	NA	"Nest2"	"cloaca"	"unfertilized"	"leucomystax"	24.796863329	279
"3"	"AFCN3"	"adult"	"adult"	"female"	NA	"Nest3"	"cloaca"	"fertilized"	"otilophus"	43.312706747	804
"4"	"AFCN4"	"adult"	"adult"	"female"	NA	"Nest4"	"cloaca"	"fertilized"	"leucomystax"	52.273907774	888
"5"	"AFDN1"	"adult"	"adult"	"female"	NA	"Nest1"	"dorsal"	"fertilized"	"macrotis"	39.872726936	560
"6"	"AFDN2"	"adult"	"adult"	"female"	NA	"Nest2"	"dorsal"	"unfertilized"	"leucomystax"	41.938227441	588
"7"	"AFDN3"	"adult"	"adult"	"female"	NA	"Nest3"	"dorsal"	"fertilized"	"otilophus"	47.10722435	868
"8"	"AFDN4"	"adult"	"adult"	"female"	NA	"Nest4"	"dorsal"	"fertilized"	"leucomystax"	35.41274983	440
"9"	"AFVN1"	"adult"	"adult"	"female"	NA	"Nest1"	"ventral"	"fertilized"	"macrotis"	42.927735873	628
"10"	"AFVN2"	"adult "	"adult "	"female"	NA	"Nest2"	"ventral"	"unfertilized"	"leucomystax"	41.121691342	636
"11"	"AFVN3"	"adult"	"adult"	"female"	NA	"Nest3"	"ventral"	"fertilized"	"otilophus"	39.409970687	549
"12"	"AFVN4"	"adult"	"adult"	"female"	NA	"Nest4"	"ventral"	"fertilized"	"leucomystax"	23.698794544	229
"13"	"AMC"	"adult"	"adult"	"male"	NA	NA	"cloaca"	"unfertilized"	"leucomystax"	27.071298216	385
"14"	"AMCN1"	"adult"	"adult"	"male"	NA	"Nest1"	"cloaca"	"fertilized"	"macrotis"	31.94789374	445
"15"	"AMCN3"	"adult"	"adult"	"male"	NA	"Nest3"	"cloaca"	"fertilized"	"otilophus"	49.883120766	829
"16"	"AMCN4"	"adult"	"adult"	"male"	NA	"Nest4"	"cloaca"	"fertilized"	"leucomystax"	38.923289097	572
"17"	"AMD"	"adult"	"adult"	"male"	NA	NA	"dorsal"	"unfertilized"	"leucomystax"	9.380737894	106
"18"	"AMDN1"	"adult"	"adult"	"male"	NA	"Nest1"	"dorsal"	"fertilized"	"macrotis"	47.565519513	905
"19"	"AMDN3"	"adult"	"adult"	"male"	NA	"Nest3"	"dorsal"	"fertilized"	"otilophus"	56.354480832	997
"20"	"AMDN4"	"adult"	"adult"	"male"	NA	"Nest4"	"dorsal"	"fertilized"	"leucomystax"	26.271810909	338
"21"	"AMSecretion"	"secretion"	"secretion"	NA	NA	NA	NA	"unfertilized"	"leucomystax"	9.751304661	112
"22"	"AMV"	"adult"	"adult"	"male"	NA	NA	"ventral"	"unfertilized"	"leucomystax"	17.340396395	191
"23"	"AMVN1"	"adult"	"adult"	"male"	NA	"Nest1"	"ventral"	"fertilized"	"macrotis"	38.593189182	683
"24"	"AMVN3"	"adult"	"adult"	"male"	NA	"Nest3"	"ventral"	"fertilized"	"otilophus"	48.889516047	925
"25"	"AMVN4"	"adult"	"adult"	"male"	NA	"Nest4"	"ventral"	"fertilized"	"leucomystax"	32.482497016	377
"26"	"H20controlN4"	"water-control"	"water-control"	NA	NA	"Nest4"	NA	NA	NA	52.588078183	898
"27"	"H2Ocontrol1"	"water-control"	"water-control"	NA	NA	NA	NA	NA	NA	13.557825162	128
"28"	"H2Ocontrol2"	"water-control"	"water-control"	NA	NA	NA	NA	NA	NA	46.273992348	734
"29"	"H2Ocontrol3"	"water-control"	"water-control"	NA	NA	NA	NA	NA	NA	46.279963542	752
"30"	"H2ON3"	"water-control"	"water-control"	NA	NA	"Nest3"	NA	NA	NA	44.382747542	713
"31"	"N1FTad1"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest1"	NA	NA	"macrotis"	28.937486136	363
"32"	"N1FTad2"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest1"	NA	NA	"macrotis"	37.473465354	488
"33"	"N1FTad3"	"tadpole-nest"	"tadpole-nest"	NA	NA	"Nest1"	NA	NA	"macrotis"	50.61967299	934
