#SampleID	True_SampleID	Category	Description	Sex	Nest_location	Nest_no	Body_location	Fert_status	Species	MiSeqRun
AFCN1R1	AFCN1	adult	adult	female	NA	Nest1	cloaca	fertilized	macrotis	1
AFCN2R1	AFCN2	adult	adult	female	NA	Nest2	cloaca	unfertilized	leucomystax	1
AFCN3R1	AFCN3	adult	adult	female	NA	Nest3	cloaca	fertilized	otilophus	1
AFCN4R1	AFCN4	adult	adult	female	NA	Nest4	cloaca	fertilized	leucomystax	1
AFDN1R1	AFDN1	adult	adult	female	NA	Nest1	dorsal	fertilized	macrotis	1
AFDN2R1	AFDN2	adult	adult	female	NA	Nest2	dorsal	unfertilized	leucomystax	1
AFDN3R1	AFDN3	adult	adult	female	NA	Nest3	dorsal	fertilized	otilophus	1
AFDN4R1	AFDN4	adult	adult	female	NA	Nest4	dorsal	fertilized	leucomystax	1
AFVN1R1	AFVN1	adult	adult	female	NA	Nest1	ventral	fertilized	macrotis	1
AFVN2R1	AFVN2	adult 	adult 	female	NA	Nest2	ventral	unfertilized	leucomystax	1
AFVN3R1	AFVN3	adult	adult	female	NA	Nest3	ventral	fertilized	otilophus	1
AFVN4R1	AFVN4	adult	adult	female	NA	Nest4	ventral	fertilized	leucomystax	1
AMCR1	AMC	adult	adult	male	NA	NA	cloaca	unfertilized	leucomystax	1
AMCN1R1	AMCN1	adult	adult	male	NA	Nest1	cloaca	fertilized	macrotis	1
AMCN3R1	AMCN3	adult	adult	male	NA	Nest3	cloaca	fertilized	otilophus	1
AMCN4R1	AMCN4	adult	adult	male	NA	Nest4	cloaca	fertilized	leucomystax	1
AMDR1	AMD	adult	adult	male	NA	NA	dorsal	unfertilized	leucomystax	1
AMDN1R1	AMDN1	adult	adult	male	NA	Nest1	dorsal	fertilized	macrotis	1
AMDN3R1	AMDN3	adult	adult	male	NA	Nest3	dorsal	fertilized	otilophus	1
AMDN4R1	AMDN4	adult	adult	male	NA	Nest4	dorsal	fertilized	leucomystax	1
AMVR1	AMV	adult	adult	male	NA	NA	ventral	unfertilized	leucomystax	1
AMVN1R1	AMVN1	adult	adult	male	NA	Nest1	ventral	fertilized	macrotis	1
AMVN3R1	AMVN3	adult	adult	male	NA	Nest3	ventral	fertilized	otilophus	1
AMVN4R1	AMVN4	adult	adult	male	NA	Nest4	ventral	fertilized	leucomystax	1
C2H2OR1	C2H2O	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H2O1R1	H2O1	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H2O2R1	H2O2	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H2O3R1	H2O3	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H2Ocontrol1R1	H2Ocontrol1	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H2Ocontrol2R1	H2Ocontrol2	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H2Ocontrol3R1	H2Ocontrol3	water-control	water-control	NA	NA	NA	NA	NA	NA	1
H20controlN4R1	H20controlN4	water-control	water-control	NA	NA	Nest4	NA	NA	NA	1
H2ON3R1	H2ON3	water-control	water-control	NA	NA	Nest3	NA	NA	NA	1
N1FTad1R1	N1FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis	1
N1FTad2R1	N1FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis	1
N1FTad3R1	N1FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis	1
N1H2O1R1	N1H2O1	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	1
N1H2O2R1	N1H2O2	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	1
N1H2O3R1	N1H2O3	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	1
N1H2OFTadsR1	N1H2OFTads	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA	1
N1in1R1	N1in1	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis	1
